"Code_wilaya","wilaya","Wilaya_ar"
"01","Adrar","أدرار"
"03","Laghouat","الأغواط"
"05","Batna","باتنة"
"16","Alger","الجزائر"
"22","Sidi Belabes","سيدي بلعباس"
"13","Tlemcen","تلمسان"
"06","Bejaia","بيجاية"
"30","Ouargla","ورقلة"
"46","A. Témouchent","عين تموشنت"
"02","Chlef","الشلف"
"27","Mostaganem","مستغانم"
"04","Oum El-Bouaghi","ام البواقي"
"07","Biskra","بيسكرة"
"08","Béchar","بشار"
"09","Blida","البليدة"
"10","Bouira","البويرة"
"11","Tamanrasset","تمنراست"
"12","Tébessa","تبسة"
"14","Tiaret","تيارت"
"15","Tizi-Ouzou","تيزي وزو"
"17","Djelfa","الجلفة"
"18","Jijel","جيجل"
"19","Sétif","سطيف"
"20","Saida","سعيدة"
"21","Skikda","سكيكدة"
"23","Annaba","عنابة"
"24","Guelma","قالمة"
"25","Constantine","قسنطينة"
"26","Médéa","المدية"
"28","Msila","المسيلة"
"29","Mascara","معسكر"
"31","Oran","وهران"
"32","El-Bayadh","البيض"
"33","Illizi","إليزي"
"34","B.B. Arreridj","برج بوعريريج"
"35","Boumerdès","بومرداس"
"36","El-Taref","الطارف"
"37","Tindouf","تيندوف"
"38","Tissemsilt","تيسمسيلت"
"39","El-Oued","الواد"
"40","Khenchela","خنشلة"
"41","Souk-Ahras","سوق اهراس"
"42","Tipaza","تيبازا"
"43","Mila","ميلة"
"44","Ain-Defla","عين الدفلة"
"45","Naâma","النعامة"
"47","Ghardaia","غرداية"
"48","Relizane","غيليزان"
"99","Etranger","خارج الوطن"
